# ts total_used qemu_mib nvkvm_stub_mib stub_count qemu_fds marker
18:37:24 2266 154 317 14 493 E0-idle
18:37:39 2578 156 307 14 497 E0-idle
18:37:55 2342 160 307 14 496 E0-idle
18:38:10 2314 132 307 14 496 E0-idle
18:38:25 2312 132 305 14 494 E0-idle
18:38:40 2321 132 312 14 492 E0-idle
18:38:55 2321 132 312 14 491 E0-idle
18:39:10 2320 132 312 14 493 E0-idle
18:39:25 2320 132 312 14 488 E1-idle
18:39:40 2321 132 312 14 489 E1-idle
18:39:55 2321 132 312 14 488 E1-idle
18:40:10 2321 132 312 14 486 E1-idle
18:40:26 2321 132 312 14 484 E1-idle
18:40:41 2321 132 312 14 481 E1-idle
18:40:56 2321 132 312 14 479 E1-idle
18:41:11 2320 132 312 14 478 E1-idle
18:41:26 2320 132 312 14 477 E1-idle
18:41:41 2348 142 336 14 477 E1-idle
18:41:56 2382 142 319 14 480 E1-idle
18:42:11 2382 142 319 14 479 E1-idle
