# ts total_used qemu_mib nvkvm_stub_mib stub_count qemu_fds marker
18:43:27 2145 161 561 14 488 gl-boot
18:43:42 2617 161 687 14 557 gl-boot
18:43:57 2906 161 725 14 528 gl-boot
18:44:12 2925 161 708 14 529 gl-boot
18:44:28 2977 161 760 14 532 gl-boot
18:44:43 2863 161 646 14 542 gl-boot
18:44:58 2754 201 473 14 531 gl-boot
18:45:13 2616 201 336 14 528 gl-boot
18:45:28 2615 201 335 14 531 gl-boot
18:45:43 2615 201 335 14 532 gl-boot
18:45:58 2615 201 335 14 530 P1-idle
18:46:13 2615 201 335 14 529 P1-idle
18:46:28 2615 201 335 14 529 P1-idle
18:46:43 2615 201 335 14 523 P1-idle
18:46:58 2615 201 335 14 522 P1-idle
18:47:14 2615 201 335 14 522 P1-idle
18:47:29 2615 201 335 14 518 P1-idle
18:47:44 2615 201 335 14 516 P1-idle
18:47:59 2634 201 344 15 553 P2-gears-frames
18:48:14 2626 194 344 15 552 P2-gears-frames
18:48:29 2615 194 332 15 552 P2-gears-frames
18:48:44 2615 194 332 15 550 P2-gears-frames
18:48:59 2615 194 332 15 551 P2-gears-frames
18:49:14 2605 194 332 15 551 P2-gears-frames
18:49:29 2605 194 332 15 550 P2-gears-frames
18:49:45 2605 194 332 15 550 P2-gears-frames
18:50:00 2605 194 332 15 550 P2-gears-frames
18:50:15 2605 194 332 15 551 P2-gears-frames
18:50:30 2603 194 329 15 552 P2-gears-frames
18:50:45 2603 194 329 15 551 P2-gears-frames
18:51:00 2607 194 333 15 581 P2-gears-frames
18:51:15 2701 194 371 15 664 P2-gears-frames
18:51:30 2752 194 372 15 584 P2-gears-frames
18:51:46 2728 194 351 15 586 P2-gears-frames
18:52:01 2758 194 351 15 585 P2-gears-frames
18:52:16 2758 194 351 15 585 P2-gears-frames
18:52:31 2767 200 345 15 600 P2-gears-frames
18:52:46 2843 200 385 17 708 P2-gears-frames
18:53:01 2873 200 412 16 700 P2-gears-frames
18:53:16 2839 166 412 16 653 P2-gears-frames
18:53:31 2825 166 399 16 651 P3-idle-after-frames
18:53:47 2826 166 399 16 650 P3-idle-after-frames
18:54:02 2835 166 397 16 645 minecraft-load
18:54:17 2835 166 397 16 641 minecraft-load
18:54:32 2835 166 397 17 640 minecraft-load
18:54:47 2835 166 397 17 640 minecraft-load
18:55:02 2845 166 397 17 636 minecraft-load
18:55:17 2878 176 412 17 622 minecraft-load
18:55:32 2880 176 403 17 618 minecraft-load
18:55:47 2880 176 403 17 619 minecraft-load
18:56:02 2881 176 405 17 628 minecraft-load
18:56:18 2881 176 405 17 623 minecraft-load
18:56:33 2915 176 405 17 612 minecraft-load
18:56:48 2982 176 407 17 613 minecraft-load
18:57:03 2960 176 357 16 514 minecraft-load
18:57:18 3166 176 437 17 649 minecraft-load
18:57:33 3166 176 437 17 649 minecraft-load
18:57:48 3166 176 437 17 649 minecraft-load
18:58:03 3166 176 437 17 649 minecraft-load
18:58:18 3166 176 437 17 649 minecraft-load
18:58:33 3166 176 437 17 649 minecraft-load
18:58:49 3166 176 437 17 649 minecraft-load
18:59:04 3166 176 437 17 649 minecraft-load
18:59:19 3166 176 437 17 649 minecraft-load
18:59:34 3166 176 437 17 649 minecraft-load
18:59:49 3349 176 437 17 649 minecraft-load
19:00:04 3295 176 437 17 649 minecraft-load
19:00:19 3295 176 437 17 649 minecraft-load
19:00:34 3295 176 437 17 649 minecraft-load
19:00:49 3295 176 437 17 649 minecraft-load
19:01:05 3228 176 437 17 649 minecraft-load
19:01:20 3316 176 437 17 649 minecraft-load
19:01:35 3316 176 437 17 649 minecraft-load
19:01:50 3316 176 437 17 649 minecraft-load
19:02:05 3316 176 437 17 649 minecraft-load
19:02:20 3316 176 437 17 649 minecraft-load
19:02:35 3316 176 437 17 649 minecraft-load
19:02:50 3316 176 437 17 649 minecraft-load
19:03:05 3316 176 437 17 649 minecraft-load
19:03:20 3316 176 437 17 649 minecraft-load
19:03:36 3316 176 437 17 649 minecraft-load
19:03:51 3316 176 437 17 649 minecraft-load
